nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,risultati_uguali
74L85.000,2,33,1,0.265625,165,53.65234375,7,1,2,2,8,1,0.28125,34,51.484375,1
74L85.001,4,33,1,0.28125,292,51.0625,21,1,2,4,19,1,0.28125,143,53.83203125,1
74L85.002,4,33,1,0.3125,413,52.890625,17,1,2,4,16,1,0.28125,166,51.5,1
74L85.003,2,33,1,0.296875,162,52.2734375,10,1,2,2,7,1,0.265625,28,51.93359375,1
74L85.004,4,33,1,0.25,340,50.94140625,22,1,2,4,21,1,0.34375,187,51.83984375,1
74L85.005,1,33,1,0.3125,33,50.99609375,1,1,1,1,1,1,0.328125,1,52.43359375,1
74L85.006,1,33,1,0.296875,33,52.28125,7,1,1,1,7,1,0.3125,7,52.39453125,1
74L85.007,2,33,1,0.265625,59,50.65625,9,1,1,1,9,1,0.328125,9,51.94140625,1
74L85.008,3,33,1,0.328125,199,51.24609375,18,1,2,2,13,1,0.28125,76,53.19921875,1
74L85.009,2,33,1,0.3125,165,52.33203125,10,1,2,2,7,1,0.234375,28,50.71484375,1
74L85.010,5,33,1,0.28125,1221,52.65625,98,2,3,5,25,1,0.28125,1053,51.82421875,1
74L85.011,4,33,1,0.28125,367,53.45703125,13,2,3,4,12,1,0.34375,141,52.54296875,1
74L85.012,5,33,1,0.296875,747,52.0390625,22,2,3,5,22,1,0.28125,492,52.27734375,1
74L85.013,4,33,1,0.3125,2530,52.74609375,70,2,4,4,15,1,0.34375,923,52.65234375,1
74L85.014,6,33,1,0.390625,1604,52.953125,181,2,4,5,21,1,0.296875,1278,52.5546875,1
74L85.015,6,33,1,0.34375,2617,52.10546875,110,2,4,6,20,1,0.265625,1390,52.234375,1
74L85.016,2,33,1,0.234375,164,51.06640625,49,2,2,2,14,1,0.25,105,53.7109375,1
74L85.017,5,33,1,0.3125,660,53.29296875,21,2,3,5,20,1,0.296875,386,51.80078125,1
74L85.018,5,33,1,0.296875,702,53.3203125,39,2,3,4,15,1,0.265625,325,51.27734375,1
74L85.019,3,33,1,0.25,167,50.61328125,9,2,2,2,10,1,0.265625,55,53.71875,1
74L85.020,7,33,1,0.359375,4607,54.2421875,239,3,5,7,19,1,0.296875,3799,53.8046875,1
74L85.021,4,33,1,0.296875,865,52.359375,42,3,4,4,15,1,0.3125,596,53.3203125,1
74L85.022,9,33,1,0.375,8731,54.53515625,233,3,5,9,26,1,0.390625,8053,54.5625,1
74L85.023,9,33,1,0.359375,4507,54.73828125,158,3,5,8,26,1,0.34375,3835,53.46484375,1
74L85.024,3,33,1,0.328125,444,51.9453125,49,3,3,3,15,1,0.25,384,51.29296875,1
74L85.025,6,33,1,0.3125,8705,53.9921875,298,3,4,6,23,1,0.34375,6474,53.8828125,1
74L85.026,9,33,1,0.359375,5419,54.61328125,210,3,5,7,25,1,0.359375,4488,52.90625,1
74L85.027,5,33,1,0.234375,592,51.46484375,30,3,4,5,14,1,0.3125,342,51.109375,1
